montant,heure,pays,appareil,type_transaction,nombre_transactions_24h,ecart_moyenne,transaction_etrangere,nouvel_appareil,transactions_rapides,categorie_commercant,score_risque_localisation,score_risque_ip,fraude
3629.54,5,Madagascar,mobile,transfer,1,0.11,0,1,1,gaming,72,5,0
6238.32,20,France,ATM,purchase,3,-0.59,0,1,1,electronics,44,39,0
3538.18,23,France,web,withdrawal,3,0.76,1,1,1,groceries,78,43,0
2655.4,23,South Africa,mobile,payment,3,0.45,1,0,0,groceries,66,37,0
2205.91,19,South Africa,ATM,withdrawal,1,1.26,1,1,0,luxury,99,17,0
679.58,9,USA,ATM,payment,2,-0.78,1,1,1,food,56,26,0
1451.21,5,USA,mobile,transfer,5,1.06,0,0,0,electronics,4,36,0
1880.63,0,France,web,transfer,3,1.48,0,1,0,gaming,7,51,0
8579.43,14,Russia,mobile,payment,1,1.31,0,1,1,groceries,38,55,0
4203.27,13,USA,mobile,purchase,3,0.44,1,0,0,gaming,78,2,0
511.3,11,Russia,ATM,transfer,2,-0.55,1,1,1,travel,93,91,1
4121.96,9,South Africa,mobile,withdrawal,7,-0.24,0,1,0,food,14,51,0
2028.23,8,Madagascar,ATM,withdrawal,2,-0.03,0,1,1,groceries,76,76,0
1514.86,20,USA,ATM,withdrawal,2,0.72,0,1,0,gaming,66,17,0
5495.45,14,USA,ATM,purchase,5,-0.5,0,1,0,electronics,6,85,0
8358.21,13,France,mobile,purchase,5,-0.68,1,1,0,groceries,67,88,1
7564.94,23,Germany,ATM,withdrawal,5,-1.23,1,1,1,electronics,4,0,0
1287.92,9,South Africa,web,purchase,6,-2.08,0,1,1,groceries,64,26,0
2188.1,0,Nigeria,ATM,withdrawal,4,0.22,1,1,0,groceries,66,27,1
4151.66,19,Germany,ATM,purchase,4,-0.53,1,1,1,travel,70,24,0
7907.33,1,Madagascar,web,payment,3,-0.08,1,0,1,food,12,76,0
1846.09,1,France,web,purchase,2,0.64,0,0,0,gaming,80,32,0
2475.85,1,Nigeria,mobile,payment,3,-0.26,0,0,1,food,7,86,0
986.01,1,Nigeria,ATM,transfer,1,0.34,1,0,1,gaming,88,7,0
901.26,7,South Africa,mobile,payment,2,0.77,1,0,0,groceries,81,23,0
6717.87,21,USA,web,transfer,5,-0.39,1,0,1,luxury,31,81,0
11570.8,17,France,mobile,payment,3,-0.05,0,0,1,travel,35,65,0
2773.85,12,Russia,web,withdrawal,3,-0.49,1,0,1,luxury,37,59,0
8131.76,16,Nigeria,ATM,payment,3,0.35,1,0,0,travel,49,99,0
4279.69,7,Russia,mobile,purchase,2,0.59,0,1,1,groceries,37,11,0
1563.81,9,Germany,ATM,transfer,5,-0.2,0,0,0,electronics,60,15,0
4278.66,13,Germany,web,withdrawal,3,-0.12,1,0,1,travel,63,3,0
13877.67,18,Madagascar,mobile,payment,3,0.92,0,0,0,food,27,31,0
2876.05,18,Nigeria,mobile,transfer,3,-0.13,0,0,1,food,19,88,0
14251.87,23,France,mobile,withdrawal,3,0.33,1,1,1,food,94,39,0
217.08,4,Russia,mobile,withdrawal,1,0.85,0,0,0,food,26,65,0
6781.15,23,Russia,web,withdrawal,5,-1.55,1,1,0,luxury,42,22,0
3252.07,17,Russia,web,payment,3,-0.01,0,1,0,food,51,97,0
2210.54,9,USA,ATM,payment,2,1.12,0,1,1,electronics,50,36,0
3267.44,15,Germany,mobile,payment,2,0.12,0,1,0,gaming,62,4,0
408.48,17,South Africa,ATM,purchase,2,0.94,0,1,1,food,57,75,0
2393.06,8,South Africa,web,withdrawal,0,-0.85,1,1,0,luxury,31,89,1
4260.38,9,USA,mobile,withdrawal,4,0.6,0,1,0,food,30,53,0
13067.64,21,France,mobile,withdrawal,4,0.92,1,0,1,food,20,12,0
1775.31,11,Madagascar,mobile,purchase,8,-2.61,0,0,1,electronics,69,11,0
1328.1,4,Nigeria,web,withdrawal,1,0.12,1,1,0,groceries,54,88,1
1804.87,14,USA,ATM,withdrawal,0,-1.46,0,1,0,travel,86,8,0
7445.78,22,Nigeria,mobile,withdrawal,1,-0.77,0,0,0,electronics,33,43,0
4141.24,6,Germany,mobile,payment,2,-0.47,0,0,0,groceries,54,41,0
1755.03,19,Madagascar,ATM,withdrawal,4,-0.68,1,1,0,gaming,6,57,0
4980.41,6,France,ATM,purchase,3,1.65,1,0,0,food,47,72,0
3284.85,2,South Africa,web,transfer,3,0.48,0,1,0,groceries,99,95,1
7852.95,2,France,ATM,payment,3,-0.28,0,1,1,food,15,80,0
1477.26,6,Germany,ATM,withdrawal,2,-0.01,1,0,0,gaming,5,29,0
2148.1,0,Madagascar,mobile,payment,1,0.61,1,1,0,electronics,61,7,1
2014.03,23,France,ATM,payment,2,0.05,1,0,0,luxury,16,70,0
689.86,17,France,ATM,transfer,0,-0.36,1,1,0,electronics,26,38,0
4008.29,0,Nigeria,mobile,transfer,0,-1.15,1,1,1,groceries,88,62,1
3870.18,5,USA,web,payment,3,-1.85,1,0,0,luxury,18,83,1
2996.24,19,USA,ATM,purchase,2,1.88,1,0,1,gaming,61,62,0
2357.63,6,Nigeria,ATM,transfer,0,-0.99,0,1,0,gaming,29,18,0
723.88,11,Madagascar,mobile,purchase,4,-1.97,0,1,0,groceries,19,54,0
1957.37,2,Nigeria,ATM,purchase,1,1.32,1,0,1,gaming,57,89,1
2116.01,1,Germany,web,payment,2,-1.21,0,0,1,gaming,96,3,0
1336.38,14,South Africa,web,purchase,4,-0.05,0,0,1,groceries,68,56,0
2536.94,19,Madagascar,mobile,payment,5,-1.79,0,1,0,gaming,84,69,0
4465.12,3,Germany,ATM,payment,2,0.18,0,0,1,electronics,80,37,0
19656.94,19,South Africa,web,purchase,3,0.28,1,1,0,groceries,94,68,1
3549.56,18,USA,mobile,payment,7,-1.13,0,0,1,groceries,20,70,0
3856.64,22,South Africa,web,payment,1,0.24,1,0,0,groceries,3,73,0
2767.1,20,Russia,mobile,withdrawal,4,1.24,0,0,0,groceries,53,44,0
437.57,10,Nigeria,web,transfer,3,-1.47,0,1,1,luxury,21,20,0
2902.96,19,South Africa,web,transfer,4,0.14,1,1,0,food,20,42,0
3166.02,4,Nigeria,web,payment,2,0.68,0,1,0,luxury,94,25,0
35004.86,22,South Africa,mobile,withdrawal,4,-0.57,1,0,0,luxury,64,77,0
2459.32,19,Madagascar,ATM,withdrawal,2,0.16,0,1,1,gaming,65,33,0
4030.1,11,Russia,mobile,payment,2,1.63,0,0,0,travel,55,46,0
2879.26,15,South Africa,mobile,transfer,7,-2.25,1,0,1,food,14,45,0
926.41,9,France,ATM,purchase,6,-0.64,1,0,1,electronics,59,67,0
9347.11,20,South Africa,ATM,transfer,1,1.41,1,1,1,travel,15,56,0
6322.9,21,France,web,payment,5,-1.56,1,1,1,food,57,17,0
6575.01,5,France,web,transfer,3,0.53,1,0,1,luxury,98,53,0
1200.64,11,Germany,mobile,withdrawal,4,0.41,0,0,1,travel,8,10,0
12122.21,6,USA,web,payment,3,-1.02,0,0,1,gaming,47,48,0
733.74,9,South Africa,mobile,withdrawal,1,0.05,1,0,1,food,29,83,0
5360.74,15,South Africa,web,transfer,2,-0.27,1,0,0,gaming,51,38,0
26647.63,2,South Africa,mobile,withdrawal,1,-1.23,1,0,1,gaming,93,59,1
1107.06,15,Germany,mobile,purchase,2,0.02,1,1,1,groceries,49,25,0
1692.06,11,Nigeria,ATM,withdrawal,4,-0.66,1,0,1,travel,80,64,0
3293.32,7,France,mobile,payment,1,-1.61,0,0,0,food,29,72,0
1801.77,4,Nigeria,mobile,payment,5,0.36,1,0,1,food,54,51,0
632.28,16,France,web,payment,5,-0.46,1,0,1,travel,46,7,0
3192.51,19,Germany,ATM,transfer,3,0.11,1,0,1,electronics,89,71,0
1030.39,19,France,mobile,withdrawal,2,2.06,1,1,0,groceries,87,42,0
4786.68,13,South Africa,ATM,purchase,0,-0.03,0,1,1,electronics,18,6,0
1188.65,23,Nigeria,web,transfer,3,1.71,0,1,1,luxury,57,15,0
14043.77,8,France,web,transfer,2,-0.15,1,0,1,food,51,78,0
1362.05,18,Madagascar,mobile,transfer,3,-1.0,1,0,1,travel,21,39,0
2160.16,11,South Africa,mobile,purchase,4,-0.55,0,1,0,groceries,39,96,0
6724.53,10,Madagascar,web,purchase,2,0.17,0,0,1,food,21,64,0
870.56,0,Nigeria,ATM,purchase,5,0.61,1,0,0,food,78,21,0
3742.32,10,Madagascar,web,purchase,4,-1.05,0,1,0,food,41,36,0
11016.43,7,Russia,ATM,transfer,6,-0.86,0,1,1,luxury,79,60,0
597.36,19,Nigeria,web,withdrawal,3,0.41,0,0,0,luxury,15,26,0
3585.43,20,USA,web,transfer,3,-0.47,0,0,1,groceries,33,47,0
3865.64,3,France,web,payment,6,0.52,0,1,0,travel,33,45,0
6514.74,3,France,ATM,purchase,1,-0.26,0,0,1,food,97,97,0
865.28,10,Nigeria,ATM,payment,2,-0.15,0,1,0,food,65,75,0
795.96,18,Germany,ATM,purchase,3,1.09,0,1,1,food,48,3,0
5023.8,3,France,mobile,purchase,1,-1.3,1,0,1,luxury,71,16,0
4011.76,22,Nigeria,mobile,withdrawal,3,2.01,0,0,1,travel,49,42,0
3829.51,5,Madagascar,ATM,withdrawal,2,0.31,0,0,0,luxury,63,2,0
4215.18,8,France,mobile,payment,2,0.52,1,0,1,electronics,17,35,0
1510.17,10,Madagascar,web,transfer,5,0.8,1,1,1,luxury,80,62,0
3760.3,11,France,mobile,payment,0,-0.44,0,1,0,electronics,92,99,0
3996.09,17,Russia,mobile,purchase,1,0.48,1,0,0,groceries,45,43,0
1459.21,19,USA,web,purchase,4,-1.28,0,0,0,travel,88,67,0
19259.78,8,South Africa,web,payment,2,-0.99,0,0,1,travel,90,81,0
4787.83,23,Germany,mobile,payment,3,0.19,0,0,1,food,92,75,0
905.69,14,Nigeria,mobile,payment,1,-1.17,0,0,1,travel,20,76,0
5747.69,16,South Africa,ATM,payment,3,0.45,0,0,1,food,61,13,0
1124.75,8,Nigeria,web,transfer,3,-0.11,0,0,1,electronics,31,5,0
6549.11,12,Nigeria,ATM,withdrawal,2,-1.45,0,0,1,gaming,86,23,0
9495.71,1,Madagascar,web,transfer,5,1.43,0,0,1,groceries,69,79,0
1312.01,16,South Africa,web,purchase,6,-1.21,0,0,1,gaming,14,22,0
7811.69,17,France,web,transfer,2,-1.21,1,1,1,electronics,82,49,0
4504.27,5,France,ATM,transfer,4,0.95,1,1,0,food,38,33,1
6782.22,1,Madagascar,ATM,withdrawal,2,-0.48,1,1,1,electronics,38,48,1
19866.56,0,Nigeria,mobile,purchase,4,-1.75,1,1,0,travel,30,63,1
2332.3,4,France,web,payment,5,-1.25,1,0,0,gaming,14,3,0
1402.85,13,France,mobile,purchase,4,1.76,0,0,0,food,80,36,0
1224.74,17,USA,ATM,transfer,2,-0.3,0,1,0,gaming,93,37,0
1318.42,3,France,ATM,purchase,4,-0.91,0,0,0,travel,97,87,0
2759.76,13,South Africa,web,transfer,1,0.34,1,1,0,groceries,35,99,1
4192.92,14,Russia,ATM,withdrawal,1,-0.5,1,1,0,luxury,16,64,0
3931.16,23,Russia,web,withdrawal,1,-1.04,1,0,1,travel,58,29,0
6817.06,21,USA,mobile,transfer,5,0.54,0,0,1,groceries,73,74,0
3019.97,7,South Africa,ATM,purchase,4,0.43,1,0,0,travel,93,98,0
12753.16,20,Nigeria,ATM,withdrawal,1,-0.02,0,0,1,food,24,65,0
2287.79,1,Germany,mobile,transfer,2,0.82,1,0,1,travel,57,93,1
45259.56,16,Nigeria,ATM,transfer,1,0.6,1,0,0,groceries,3,42,0
5572.88,23,Madagascar,ATM,payment,2,0.65,1,0,1,food,40,80,0
1265.02,16,Germany,ATM,payment,3,-2.39,0,0,0,food,45,22,0
1021.58,19,Russia,mobile,transfer,3,-1.24,0,0,1,travel,74,11,0
4829.38,5,Germany,mobile,transfer,6,-0.53,0,1,1,groceries,79,94,1
2384.01,5,South Africa,web,payment,3,0.69,0,1,0,food,57,36,0
6087.55,18,Nigeria,web,payment,4,-0.26,0,0,1,gaming,14,60,0
4784.98,0,Madagascar,ATM,transfer,2,-0.61,1,0,0,gaming,73,59,0
2771.58,5,Russia,mobile,payment,1,0.94,0,0,1,groceries,71,52,0
1278.2,4,Germany,web,purchase,1,0.65,1,1,1,electronics,41,49,1
655.34,3,Madagascar,mobile,purchase,3,0.91,1,0,0,luxury,39,49,0
1907.38,12,South Africa,mobile,transfer,3,0.27,1,1,0,travel,36,65,0
7019.16,19,Nigeria,mobile,withdrawal,2,1.03,1,1,0,gaming,84,20,0
3692.63,16,Germany,web,withdrawal,5,0.52,0,1,1,groceries,67,6,0
857.71,12,Germany,ATM,withdrawal,2,0.97,1,1,0,groceries,58,99,1
3544.6,21,Russia,ATM,withdrawal,1,-1.02,0,0,1,groceries,19,10,0
4382.25,15,USA,mobile,purchase,2,1.07,0,1,0,food,45,4,0
1231.69,12,Germany,web,payment,5,0.17,1,0,0,groceries,51,64,0
3476.3,22,Russia,ATM,purchase,3,0.12,0,1,1,gaming,35,25,0
3159.63,0,Germany,ATM,purchase,2,0.84,0,1,0,groceries,92,59,0
950.54,9,Nigeria,mobile,withdrawal,3,1.41,0,1,1,gaming,35,21,0
4263.25,17,Nigeria,ATM,purchase,6,1.0,1,0,0,groceries,33,81,0
5222.78,22,Nigeria,mobile,withdrawal,4,-2.19,1,1,1,electronics,63,76,0
8804.79,23,USA,ATM,purchase,4,-0.4,1,0,0,groceries,62,83,0
8550.99,23,Russia,mobile,withdrawal,1,0.13,0,0,0,travel,83,49,0
751.69,16,USA,mobile,purchase,1,0.22,1,1,1,travel,9,60,0
1166.98,16,Madagascar,ATM,transfer,4,-0.77,1,1,1,groceries,81,61,0
4989.22,9,Madagascar,ATM,withdrawal,3,0.61,1,0,1,gaming,68,74,0
4982.99,19,Madagascar,web,withdrawal,4,0.2,1,0,0,food,45,68,0
4989.28,1,South Africa,ATM,transfer,4,1.35,0,0,1,food,75,90,0
140467.51,9,Russia,mobile,withdrawal,1,0.9,0,1,0,luxury,97,38,0
5275.83,19,South Africa,web,payment,2,1.55,1,0,0,gaming,91,19,0
9279.53,5,France,web,withdrawal,3,-0.96,0,0,1,travel,73,95,0
7738.8,2,South Africa,mobile,withdrawal,4,-0.3,1,1,1,gaming,77,57,1
5718.1,9,South Africa,mobile,transfer,4,0.64,1,0,1,gaming,94,54,0
2174.88,18,Nigeria,web,withdrawal,2,0.09,1,1,0,travel,30,80,0
6367.54,16,Russia,mobile,withdrawal,5,-1.65,1,1,1,travel,37,93,1
1376.33,11,France,ATM,purchase,5,1.64,0,0,0,gaming,86,86,0
2352.38,20,France,mobile,purchase,3,-0.98,0,1,0,electronics,21,44,0
1834.7,11,Madagascar,web,transfer,3,1.69,0,0,1,travel,66,22,0
3235.29,22,Germany,web,payment,1,-0.71,0,1,1,luxury,28,91,0
30171.67,5,Russia,ATM,withdrawal,1,-2.0,1,0,1,travel,33,7,1
460.69,11,France,web,purchase,4,0.39,1,0,0,electronics,68,38,0
5921.0,19,South Africa,web,withdrawal,1,0.77,1,0,1,electronics,88,7,0
594.24,5,France,mobile,payment,1,-1.73,0,1,0,food,53,84,1
1859.51,2,France,ATM,purchase,3,0.71,1,0,0,food,16,81,1
8856.89,2,Germany,web,payment,2,-0.48,1,0,1,gaming,76,2,0
3178.87,22,Russia,mobile,purchase,4,1.04,0,0,0,luxury,40,15,0
1014.61,8,Russia,ATM,withdrawal,4,1.52,1,0,1,gaming,10,86,0
1457.82,0,Nigeria,web,transfer,4,-0.14,0,0,0,gaming,79,28,0
5881.68,3,France,mobile,transfer,4,-0.05,0,0,1,food,47,81,0
1436.02,11,South Africa,mobile,purchase,3,0.32,1,1,0,travel,65,38,0
3701.37,4,Nigeria,ATM,purchase,4,0.18,0,0,1,groceries,24,53,0
3119.95,17,Germany,web,transfer,2,-1.79,1,1,0,groceries,26,80,0
1553.71,15,Madagascar,mobile,purchase,2,-0.83,0,1,0,travel,55,40,0
25436.59,9,Nigeria,web,payment,0,-0.22,1,1,0,groceries,58,85,1
5619.06,11,Germany,mobile,purchase,7,1.03,1,1,0,electronics,98,37,0
393.41,10,Madagascar,mobile,transfer,7,-0.33,1,1,0,luxury,67,99,1
3591.96,18,France,mobile,purchase,3,-0.87,1,0,0,gaming,39,58,0
1537.96,4,Germany,ATM,withdrawal,5,0.93,0,0,1,food,59,65,0
6991.38,23,Germany,ATM,payment,0,-0.7,1,1,0,food,76,72,0
1349.49,2,Nigeria,ATM,purchase,2,1.11,1,1,1,luxury,18,99,1
2657.83,18,Madagascar,ATM,transfer,2,1.03,0,1,0,electronics,94,48,0
4939.34,5,Germany,web,purchase,4,1.22,1,0,1,electronics,83,69,0
7085.14,23,Russia,ATM,transfer,1,-1.33,0,0,0,food,94,36,0
897.58,16,Germany,ATM,payment,3,-0.3,0,1,0,gaming,17,18,0
2133.46,22,USA,mobile,withdrawal,1,-1.34,1,0,0,groceries,78,54,0
1853.91,12,Russia,ATM,purchase,3,-1.26,0,0,1,travel,49,0,0
1551.02,6,Germany,ATM,purchase,8,-0.75,0,1,1,travel,82,8,0
17421.39,18,France,web,payment,1,0.64,1,0,0,food,3,19,0
4469.28,18,Nigeria,mobile,withdrawal,4,-0.45,0,0,1,groceries,38,12,0
844.81,11,Madagascar,web,withdrawal,2,1.71,1,1,0,groceries,78,84,1
7464.11,10,France,web,transfer,2,0.58,0,1,0,travel,3,13,0
24888.38,16,Germany,ATM,purchase,1,1.31,1,1,1,travel,32,53,1
8370.47,16,Germany,ATM,purchase,8,0.46,0,0,1,food,66,7,0
652.38,17,Nigeria,ATM,purchase,3,-0.57,0,1,0,travel,11,96,0
1836.77,14,France,web,payment,0,0.66,0,1,1,food,22,69,0
10582.02,5,South Africa,mobile,withdrawal,4,0.08,0,0,1,food,93,41,0
1468.99,7,Germany,web,transfer,2,-0.82,0,1,1,gaming,23,6,0
4646.27,10,Germany,web,withdrawal,5,0.3,0,0,0,gaming,68,14,0
6468.08,12,USA,mobile,purchase,5,-1.77,1,1,1,travel,25,42,0
1179.76,16,Nigeria,web,payment,6,-1.07,0,0,1,travel,12,81,0
2808.69,16,France,mobile,withdrawal,2,-1.15,1,1,0,electronics,15,0,0
116.6,17,USA,mobile,withdrawal,1,0.57,0,0,0,groceries,91,78,0
1070.21,15,France,mobile,withdrawal,2,2.07,1,1,1,luxury,27,86,1
2315.62,22,Russia,mobile,withdrawal,4,0.26,0,1,0,electronics,61,72,0
855.95,15,Germany,ATM,withdrawal,8,1.78,1,0,0,travel,78,71,0
15251.17,3,Russia,ATM,purchase,3,0.54,1,0,1,gaming,44,12,0
713.27,16,Nigeria,mobile,payment,6,-0.59,0,0,1,travel,86,46,0
1919.76,7,Nigeria,mobile,withdrawal,4,0.94,0,0,0,groceries,83,76,0
3397.31,19,Russia,mobile,payment,2,0.72,0,0,1,electronics,50,98,0
12597.75,6,South Africa,mobile,purchase,2,0.75,1,1,0,gaming,98,56,0
709.2,7,Germany,ATM,payment,2,-1.49,1,1,1,travel,77,89,1
9539.19,0,Russia,mobile,transfer,0,1.0,1,0,1,groceries,71,24,0
3011.62,1,Russia,web,transfer,2,-1.44,1,0,0,travel,39,90,1
1117.1,12,South Africa,mobile,transfer,4,0.14,1,1,1,groceries,54,48,0
4732.0,1,Russia,ATM,withdrawal,10,-0.11,0,0,0,travel,15,20,0
3637.53,4,Russia,web,withdrawal,2,0.88,0,1,0,gaming,68,1,0
1635.63,4,USA,mobile,transfer,2,-0.04,1,1,0,electronics,32,16,1
3196.47,5,South Africa,web,purchase,3,-1.14,1,1,1,food,20,30,1
2027.76,17,USA,mobile,payment,2,0.64,1,0,0,groceries,13,93,0
3339.3,15,USA,ATM,transfer,7,-0.48,1,0,1,groceries,17,84,0
5779.84,23,USA,web,transfer,1,2.07,1,0,0,groceries,46,98,0
14559.76,16,South Africa,mobile,transfer,3,0.54,1,0,0,travel,13,66,0
864.53,8,Russia,mobile,payment,4,1.53,0,0,0,electronics,28,11,0
25160.57,20,Madagascar,mobile,withdrawal,0,0.7,1,0,1,groceries,23,68,0
423.23,7,Germany,web,withdrawal,1,-0.21,0,1,0,electronics,14,24,0
2561.16,7,Madagascar,mobile,transfer,0,0.67,1,0,1,luxury,76,47,0
5368.57,1,South Africa,web,purchase,3,0.42,0,0,0,gaming,84,67,0
3948.11,8,Germany,mobile,withdrawal,4,-0.7,0,0,0,travel,6,18,0
1599.27,5,Russia,web,purchase,1,0.1,1,0,0,gaming,70,77,0
2420.86,18,South Africa,ATM,payment,1,-0.99,0,1,0,groceries,41,50,0
1820.74,0,France,web,purchase,3,-1.29,1,1,1,electronics,75,30,1
1653.48,18,Nigeria,mobile,purchase,3,1.4,1,1,1,gaming,74,49,0
6971.61,0,Germany,ATM,payment,5,-0.54,1,0,1,food,68,22,0
4259.96,20,Russia,ATM,payment,4,0.27,1,0,1,travel,39,92,0
1490.83,23,Germany,ATM,withdrawal,3,-0.84,0,1,0,groceries,16,54,0
7329.04,12,South Africa,ATM,purchase,0,0.09,0,0,0,groceries,75,20,0
4053.35,6,Germany,mobile,purchase,3,-0.12,1,1,0,groceries,2,48,0
6720.13,20,South Africa,mobile,withdrawal,1,1.15,0,0,1,food,53,92,0
5595.0,12,Germany,mobile,purchase,2,-0.89,1,0,0,travel,90,61,0
1301.15,17,France,web,purchase,3,1.47,0,1,1,travel,57,98,0
1702.44,1,South Africa,ATM,withdrawal,3,-2.08,1,0,0,electronics,26,16,0
6293.63,2,South Africa,ATM,purchase,3,2.36,1,1,1,luxury,52,41,1
5488.28,5,Germany,mobile,purchase,2,0.85,0,1,0,electronics,86,40,0
2919.3,12,South Africa,web,payment,4,-0.09,1,1,1,food,19,69,0
3352.05,19,France,mobile,withdrawal,4,0.47,0,0,1,travel,9,67,0
10696.43,8,Germany,mobile,transfer,2,-0.18,0,1,0,gaming,30,30,0
1649.83,2,Madagascar,web,payment,2,1.64,1,0,1,electronics,45,54,0
5151.78,21,Germany,web,purchase,3,-1.05,0,1,0,travel,71,12,0
2435.26,14,USA,mobile,withdrawal,3,-1.47,1,1,1,luxury,83,28,0
2397.83,3,Nigeria,web,payment,1,0.06,1,1,1,gaming,37,20,1
8944.35,16,Russia,mobile,purchase,1,1.07,0,0,0,electronics,69,78,0
6805.02,16,France,mobile,transfer,4,0.82,0,0,1,electronics,5,26,0
6724.48,12,Nigeria,ATM,withdrawal,4,0.21,1,0,0,luxury,4,50,0
10998.11,10,Germany,mobile,payment,4,-0.39,1,0,0,luxury,52,11,0
3044.23,7,Nigeria,ATM,purchase,2,-0.39,0,0,1,travel,72,42,0
5895.55,2,Nigeria,mobile,payment,3,-1.76,0,0,1,electronics,33,27,0
2185.79,17,Russia,mobile,transfer,4,-1.18,0,0,0,groceries,23,12,0
4122.3,0,Madagascar,web,purchase,4,-0.55,0,1,1,electronics,18,45,0
2617.19,7,South Africa,ATM,withdrawal,4,0.85,0,0,0,travel,5,38,0
3284.59,8,Madagascar,web,withdrawal,2,-0.82,0,1,0,travel,87,61,0
5405.42,16,Germany,web,transfer,4,0.74,1,0,1,travel,32,83,0
1315.25,7,South Africa,web,payment,4,1.04,1,0,0,groceries,23,24,0
24158.4,10,France,web,purchase,2,-0.44,0,0,1,electronics,55,45,0
1090.05,0,Russia,ATM,withdrawal,1,0.14,1,0,1,groceries,96,76,0
885.2,1,France,mobile,payment,2,0.35,1,1,0,travel,89,85,1
9491.11,14,South Africa,ATM,withdrawal,1,-0.42,1,0,0,electronics,67,70,0
6579.16,16,Germany,web,withdrawal,1,0.94,1,1,1,food,76,18,0
5564.26,14,Russia,ATM,purchase,3,0.74,0,1,0,luxury,34,67,0
5587.83,17,Germany,mobile,transfer,2,0.09,1,0,0,food,87,29,0
2944.67,11,Nigeria,mobile,payment,4,-0.02,1,0,0,food,46,38,0
1215.3,13,Nigeria,web,payment,8,0.56,0,0,0,electronics,33,3,0
3215.71,11,Madagascar,ATM,payment,1,0.93,0,1,1,travel,26,51,0
1514.5,1,South Africa,ATM,withdrawal,5,-1.23,1,0,1,groceries,84,92,1
7903.96,20,Madagascar,mobile,purchase,0,0.34,0,1,0,gaming,57,17,0
2573.3,15,South Africa,mobile,purchase,4,-0.44,1,1,1,electronics,1,83,1
1305.71,18,Russia,web,purchase,5,0.67,1,1,1,food,87,40,0
2161.62,0,South Africa,mobile,transfer,4,1.87,0,0,0,travel,43,31,0
